Date,Price,Open,High,Low,Vol.,Change %
19-May-15,"20,026.38",19977.14,"20,087.70","19,946.75",184.09K,0.68%
18-May-15,"19,890.27",19766.16,"19,890.27","19,741.22",206.81K,0.80%
15-May-15,"19,732.92",19693.17,"19,750.76","19,633.75",178.45K,0.83%
14-May-15,"19,570.24",19661.52,"19,717.80","19,546.82",171.73K,-0.98%
13-May-15,"19,764.72",19568.76,"19,791.88","19,494.70",193.61K,0.71%
12-May-15,"19,624.84",19608.23,"19,626.75","19,467.65",203.46K,0.02%
11-May-15,"19,620.91",19637.58,"19,679.63","19,586.81",214.45K,1.25%
8-May-15,"19,379.19",19315.63,"19,458.75","19,302.71",181.57K,0.45%
7-May-15,"19,291.99",19356.46,"19,461.08","19,257.85",165.74K,-1.23%
1-May-15,"19,531.63",19510.85,"19,549.39","19,399.16",154.06K,0.06%
30-Apr-15,"19,520.01",19847.5,"19,852.66","19,502.61",189.06K,-2.69%
28-Apr-15,"20,058.95",20068.65,"20,133.78","20,031.71",138.71K,0.38%
27-Apr-15,"19,983.32",20063.8,"20,069.24","19,909.86",123.50K,-0.18%
24-Apr-15,"20,020.04",20142.47,"20,142.47","20,013.74",139.70K,-0.83%
23-Apr-15,"20,187.65",20227.28,"20,252.12","20,116.19",200.95K,0.27%
22-Apr-15,"20,133.90",19999.84,"20,144.66","19,983.00",204.39K,1.13%
21-Apr-15,"19,909.09",19731.57,"19,909.09","19,678.22",161.61K,1.40%
20-Apr-15,"19,634.49",19501,"19,725.86","19,474.23",144.11K,-0.09%
17-Apr-15,"19,652.88",19810.4,"19,815.25","19,638.37",188.23K,-1.17%
16-Apr-15,"19,885.77",19862.48,"19,894.35","19,742.12",174.27K,0.08%
15-Apr-15,"19,869.76",19838.53,"19,913.42","19,823.86",121.59K,-0.20%
14-Apr-15,"19,908.68",19828.65,"19,922.50","19,828.65",111.57K,0.02%
13-Apr-15,"19,905.46",19967.38,"19,975.66","19,825.69",107.00K,-0.01%
10-Apr-15,"19,907.63",19989.55,"20,006.00","19,845.31",136.20K,-0.15%
9-Apr-15,"19,937.72",19851.12,"19,957.32","19,822.49",119.98K,0.75%
8-Apr-15,"19,789.81",19729.7,"19,845.53","19,693.63",140.67K,0.76%
7-Apr-15,"19,640.54",19539.03,"19,667.48","19,501.31",137.02K,1.25%
6-Apr-15,"19,397.98",19295.03,"19,424.09","19,241.29",96.64K,-0.19%
3-Apr-15,"19,435.08",19289.04,"19,435.08","19,289.04",104.70K,0.63%
2-Apr-15,"19,312.79",19141.93,"19,433.89","19,115.14",147.09K,1.46%
1-Apr-15,"19,034.84",19129.75,"19,195.23","18,927.95",160.37K,-0.90%
31-Mar-15,"19,206.99",19592.43,"19,607.25","19,206.99",151.62K,-1.05%
30-Mar-15,"19,411.40",19295.21,"19,474.07","19,227.29",136.35K,0.65%
27-Mar-15,"19,285.63",19374.72,"19,590.03","19,099.87",178.35K,-0.95%
26-Mar-15,"19,471.12",19605.6,"19,623.11","19,397.01",154.80K,-1.39%
25-Mar-15,"19,746.20",19745.75,"19,775.45","19,542.22",144.95K,0.17%
24-Mar-15,"19,713.45",19718.99,"19,770.64","19,646.35",141.95K,-0.21%
23-Mar-15,"19,754.36",19607.98,"19,778.60","19,584.73",124.38K,0.99%
20-Mar-15,"19,560.22",19479.71,"19,565.44","19,416.63",137.53K,0.43%
19-Mar-15,"19,476.56",19514.64,"19,557.17","19,312.70",151.08K,-0.35%
18-Mar-15,"19,544.48",19407.76,"19,555.72","19,389.24",134.43K,0.55%
17-Mar-15,"19,437.00",19425.89,"19,479.89","19,373.39",131.78K,0.99%
16-Mar-15,"19,246.06",19245.38,"19,349.20","19,226.71",129.04K,-0.04%
13-Mar-15,"19,254.25",19119.58,"19,335.80","19,042.25",227.77K,1.39%
12-Mar-15,"18,991.11",18787.1,"19,008.13","18,774.42",149.75K,1.43%
11-Mar-15,"18,723.52",18604.87,"18,836.93","18,583.52",130.03K,0.31%
10-Mar-15,"18,665.11",18891.01,"18,924.38","18,577.06",148.33K,-0.67%
9-Mar-15,"18,790.55",18872.96,"18,878.15","18,733.87",117.98K,-0.95%
6-Mar-15,"18,971.00",18814.85,"18,979.64","18,808.30",147.13K,1.17%
