Date,Open,High,Low,Close,
10/15/2021,57449,62719,56896,62496,
10/14/2021,56988,58488,56916,57491,
10/13/2021,55364,57479,54325,56988,
10/12/2021,57390,57631,54404,55364,
10/11/2021,55425,57767,54445,57390,
10/10/2021,54651,56370,54211,55425,
10/9/2021,53951,55410,53738,54651,
10/8/2021,54205,55981,53659,53951,
10/7/2021,54903,55588,53496,54205,
10/6/2021,51378,55399,50476,54903,
10/5/2021,49016,51757,48595,51378,
10/4/2021,48465,49491,46993,49016,
10/3/2021,48045,49158,47139,48552,
10/2/2021,48139,48441,47480,48045,
10/1/2021,43432,48122,43302,48110,
9/30/2021,41133,44110,40984,43432,
9/29/2021,41792,42538,40806,41114,
9/28/2021,42708,43364,41145,41792,
9/27/2021,43607,44318,42689,42696,
9/26/2021,42719,43695,40827,43607,
9/25/2021,43001,43162,41750,42719,
9/24/2021,44679,45076,40944,43001,
9/23/2021,43445,44932,43051,44679,
9/22/2021,40971,43988,39721,43445,
9/21/2021,43489,43904,40391,40971,
9/20/2021,47588,47660,42636,43489,
9/19/2021,48008,48359,47182,47588,
9/18/2021,47028,48797,46828,48008,
9/17/2021,47102,48167,46775,47028,
9/16/2021,47941,48497,47063,47102,
9/15/2021,46828,48436,46418,47948,
9/14/2021,45186,46926,44724,46828,
9/13/2021,45023,46697,43561,45144,
9/12/2021,45317,46198,44781,45023,
9/11/2021,45094,46000,44304,45333,
9/10/2021,46265,47041,44879,45094,
9/9/2021,46154,47384,45586,46268,
9/8/2021,46825,47357,44548,46154,
9/7/2021,51930,52918,43917,46777,
9/6/2021,51753,52142,51044,51930,
9/5/2021,50195,51652,49527,51652,
9/4/2021,50152,50543,49535,50195,
9/3/2021,49553,50999,48379,50184,
9/2/2021,48271,50333,48268,49556,
9/1/2021,47008,48953,46567,48279,
8/31/2021,48670,48679,46725,46996,
8/30/2021,48927,49394,47500,48670,
8/29/2021,48760,49605,47922,48897,
8/28/2021,48913,49306,48405,48760,
8/27/2021,47048,49076,46383,48946,
8/26/2021,48721,49372,46444,47048,
8/25/2021,48364,49147,47193,48748,
8/24/2021,49525,49852,47856,48364,
8/23/2021,48425,50478,48315,49509,
8/22/2021,49070,49466,48225,48425,
8/21/2021,48653,49799,48374,48988,
8/20/2021,46587,48993,46361,48653,
8/19/2021,44593,46831,44016,46568,
8/18/2021,45017,45965,44283,44593,
8/17/2021,46065,47140,44601,45017,
8/16/2021,46750,48047,45728,46065,
8/15/2021,46665,47349,45615,46750,
8/14/2021,47545,48103,46201,46665,
8/13/2021,44440,47775,43912,47545,
8/12/2021,46340,46391,43844,44440,
8/11/2021,45627,46752,45276,46340,
8/10/2021,45482,46608,44695,45627,
8/9/2021,43855,46431,42832,45482,
8/8/2021,43945,45276,43331,43855,
8/7/2021,42696,44557,42404,43945,
8/6/2021,40908,43314,39942,42673,
8/5/2021,39745,41367,37454,40908,
8/4/2021,38113,39851,37558,39706,
8/3/2021,38861,39773,37768,38113,
8/2/2021,41310,41313,38720,38857,
8/1/2021,41516,42551,40694,41310,
7/31/2021,40860,42247,40693,41516,
7/30/2021,39722,41290,38389,40860,
7/29/2021,40068,40630,39337,39722,
7/28/2021,38000,40830,37988,40068,
7/27/2021,37598,38732,36453,38000,
7/26/2021,34481,40502,34455,37598,
7/25/2021,33919,34800,33851,34481,
7/24/2021,32477,34518,32476,33919,
